char,charname,birthname,types,universes,birthplace,superpowers,religions,gender,occupation,memberof
http://www.wikidata.org/entity/Q18754954,Silk,Cindy Moon,"mutate, comics character","Earth-616, Marvel Universe",,"superhuman agility / reflexes, superhuman durability, superhuman speed, superhuman strength",,,,
http://www.wikidata.org/entity/Q3127430,Snowbird,Narya,"demigod or quasi-deity in a work of fiction, comics character",Marvel Universe,,"flight, shapeshifting, superhuman strength, retrocognition",,,,
http://www.wikidata.org/entity/Q546340,Thunderbird,John Proudstar,"television character, animated character, mutant",Marvel Universe,,"superhuman durability, superhuman speed, superhuman strength",,,,
http://www.wikidata.org/entity/Q1194236,Cannonball,Samuel Zachery Guthrie,"superhero film character, animated character, mutant","Earth-616, Marvel Universe",,thermo-chemical energy,,,,
http://www.wikidata.org/entity/Q2087326,Shriek,Frances Louise Barrison,"film character, comics character",Marvel Universe,,sonic scream,,,,
http://www.wikidata.org/entity/Q1429836,Galactus,Galan,"fictional humanoid extraterrestrial, cosmic entity, comics character","Earth-616, Marvel Universe",,"superhuman durability, superhuman speed, reality warping, teleportation, immortality, superhuman strength, levitation, force field, healing factor, psychokinesis, time travel, telepathy",,,,
http://www.wikidata.org/entity/Q1779361,Harry Osborn,Harold Theopolis Osborn,"superhero film character, animated character, mutate, comics character",Marvel Universe,,"superhuman durability, superhuman speed, superhuman strength, healing factor",,,,
http://www.wikidata.org/entity/Q1771294,Chris Bradley,Christopher Bradley,"superhero film character, mutant","Earth-616, Marvel Universe",,"technopathy, electrokinesis",,,,
http://www.wikidata.org/entity/Q48412444,Ultimate Magneto,Erik Lensherr,mutant,Marvel Universe,,magnetism manipulation,,,,
http://www.wikidata.org/entity/Q840291,Magneto,Max Eisenhardt,"superhero film character, animated character, comics character, mutant","Earth-616, Marvel Universe",Germany,"electromagnetism manipulation, magnetism manipulation",Judaism,male,"teacher, head teacher, ruler, spy, orderly","X-Men, Brotherhood of Mutants, New Mutants, Hellfire Club, Excalibur, Acolytes, Savage Land Mutates"
http://www.wikidata.org/entity/Q49262738,Ultimate Angel,Warren Worthington III,mutant,Marvel Universe,,flight,,,,
http://www.wikidata.org/entity/Q2568977,Vulcan,Gabriel Summers,mutant,"Earth-616, Marvel Universe",,"flight, power mimicry or absorption, magnetism manipulation, electrokinesis, force field, healing factor",,,,
http://www.wikidata.org/entity/Q547306,Kitty Pryde,Katherine Anne Pryde,"superhero film character, animated character, mutant","Earth-616, Marvel Universe",Deerfield,intangibility,Judaism,female,"teacher, superhero, bartender, aircraft pilot, government agent, circus performer","X-Men, S.H.I.E.L.D., New Mutants, Guardians of the Galaxy, Excalibur"
http://www.wikidata.org/entity/Q996154,Wolfsbane,Rahne Sinclair,"superhero film character, werewolf in a work of fiction, animated character, mutant","Earth-616, Marvel Universe",,"superhuman senses, superhuman speed, superhuman strength, lycanthropy, healing factor",,,,
http://www.wikidata.org/entity/Q737236,Mystique,Raven Darkhölme,"superhero film character, animated character, mutant",Marvel Universe,,shapeshifting,,,,
http://www.wikidata.org/entity/Q48958279,Ultimate Kitty Pryde,Katherine Pryde,mutant,Marvel Universe,,intangibility,,,,
http://www.wikidata.org/entity/Q2604744,Anya Corazon,Anya Sofia Corazon,"mutate, comics character",Marvel Universe,,"superhuman agility / reflexes, superhuman strength",,,,
http://www.wikidata.org/entity/Q1149790,Adam X,Adam Neramani,"extraterrestrial–human hybrid in a work of fiction, mutant","Earth-616, Marvel Universe",,"superhuman agility / reflexes, superhuman speed, superhuman strength, healing factor",,,,
http://www.wikidata.org/entity/Q647105,Banshee,Sean Cassidy,"superhero film character, animated character, comics character, mutant","Earth-616, Marvel Universe",County Mayo,sonic scream,Catholicism,male,"superhero, detective, head teacher, barker, criminal","Interpol, X-Men, New York City Police Department, Generation X, Factor Three, X-Corps"
http://www.wikidata.org/entity/Q572626,Rhino,Алексей Михайлович Сицевич,"gamma mutate, film character, animated character, comics character",Marvel Universe,,"superhuman durability, superhuman speed, superhuman strength",,,,
http://www.wikidata.org/entity/Q944173,Nuke,Frank Simpson,"television character, mutate",Marvel Universe,,"superhuman durability, superhuman speed, superhuman strength",,,,
http://www.wikidata.org/entity/Q21188808,Ultimate Firestar,Elizabeth Allan,mutant,Marvel Universe,,"pyrokinesis, flight",,,,
http://www.wikidata.org/entity/Q48777057,Elliot Boggs,Elliot Boggs,mutant,Marvel Universe,,reality warping,,,,
http://www.wikidata.org/entity/Q3545629,Ahab,Roderick Campbell,"cyborg in a work of fiction, television character, comics character","Marvel Universe, Earth-811",,"superhuman strength, superhuman durability",,,,
http://www.wikidata.org/entity/Q327553,Daredevil,Matthew Michael Murdock,"superhero film character, television character, animated character, fictional human, mutate","Earth-616, Marvel Universe",New York City,superhuman senses,Catholicism,male,"ninja, lawyer, superhero, martial artist, fictional vigilante","Avengers, Defenders, Marvel Knights"
http://www.wikidata.org/entity/Q1607791,Legion,David Charles Haller,"television character, animated character, mutant",Marvel Universe,,"shapeshifting, reality warping, chronokinesis, pyrokinesis, psychokinesis, telepathy",,,,
http://www.wikidata.org/entity/Q3567749,Whirlwind,David Cannon,"fictional human, mutant",Marvel Universe,,"flight, superhuman agility / reflexes, superhuman speed, aerokinesis",,,,
http://www.wikidata.org/entity/Q2597584,Wild Child,Kyle Gibney,mutant,Marvel Universe,,"superhuman senses, superhuman agility / reflexes, healing factor",,,,
http://www.wikidata.org/entity/Q2737568,Feral,Maria Callasantos,mutant,"Earth-616, Marvel Universe",,"superhuman senses, superhuman agility / reflexes, superhuman durability, superhuman speed, superhuman strength",,,,
http://www.wikidata.org/entity/Q59665,Jubilee,Jubilation Lee,"superhero film character, animated character, vampire in Marvel Universe, comics character, mutant",Marvel Universe,,energy blasts,,,,
http://www.wikidata.org/entity/Q3545795,Aero,Melody Guthrie,"comics character, mutant",Marvel Universe,,flight,,,,
http://www.wikidata.org/entity/Q2320361,Icarus,Joshua Guthrie,mutant,Marvel Universe,,"flight, healing factor",,,,
http://www.wikidata.org/entity/Q2296652,Bishop,Lucas Bishop,"superhero film character, animated character, mutant","Earth-1191, Marvel Universe",,"energy manipulation, superhuman durability, superhuman strength",,,,
http://www.wikidata.org/entity/Q2405949,Captain Britain,Brian Braddock,"mutate, comics character","Earth-616, Marvel Universe",,"flight, superhuman senses, superhuman agility / reflexes, superhuman durability, superhuman strength, precognition",,,,
http://www.wikidata.org/entity/Q770064,Warren Worthington III,Warren Kenneth Worthington III,"superhero film character, animated character, mutant","Earth-616, Marvel Universe",,"flight, healing factor",,,,
http://www.wikidata.org/entity/Q3316968,Mister Negative,Martin Li,"mutate, comics character","Earth-616, Marvel Universe",,"superhuman agility / reflexes, mind control, superhuman strength",,,,
http://www.wikidata.org/entity/Q2568013,High Evolutionary,Herbert Edgar Wyndham,"mutate, comics character",Marvel Universe,,"technopathy, clairvoyance, astral projection, psychokinesis, telepathy",,,,
http://www.wikidata.org/entity/Q7880273,Ultimate Wolverine,James Howlett,mutant,Marvel Universe,,"superhuman endurance, superhuman longevity, superhuman senses, superhuman agility / reflexes, superhuman strength, healing factor",,,,
http://www.wikidata.org/entity/Q920406,Warpath,James Proudstar,"superhero film character, mutant","Earth-616, Marvel Universe",,"flight, superhuman speed, superhuman strength",,,,
http://www.wikidata.org/entity/Q836748,Ghost Rider,John Blaze,"superhero film character, comics character",Marvel Universe,,"immortality, superhuman strength, pyrokinesis, healing factor",,,,
http://www.wikidata.org/entity/Q5532787,Genesis,Tyler Dayspring,mutant,Marvel Universe,,telepathy,,,,
http://www.wikidata.org/entity/Q1087722,"Morbius, the Living Vampire",Michael Morbius,"superhero film character, vampire in a work of fiction, animated character, mutate",Marvel Universe,,"superhuman endurance, superhuman senses, superhuman agility / reflexes, superhuman speed, superhuman strength, healing factor",,,,
http://www.wikidata.org/entity/Q3547398,Grand Director,William Burnside,"mutate, supersoldier, comics character",Marvel Universe,,superhuman strength,,,,
http://www.wikidata.org/entity/Q1188309,Spider-Woman,Jessica Miriam Drew,"animated character, fictional human, mutate","Earth-616, Marvel Universe",,"superhuman durability, superhuman speed, superhuman strength",,,,
http://www.wikidata.org/entity/Q4003147,Ultimate Cyclops,Scott Summers,mutant,Marvel Universe,,optic blasts,,,,
http://www.wikidata.org/entity/Q1748149,Menace,Lily Hollister,"mutate, comics character",Marvel Universe,,superhuman strength,,,,
http://www.wikidata.org/entity/Q371692,Blob,Frederick J. Dukes,"superhero film character, animated character, comics character, mutant","Earth-616, Marvel Universe",,"superhuman strength, superhuman durability",,,,
http://www.wikidata.org/entity/Q578279,Firestar,Angelica Jones,mutant,Marvel Universe,,"flight, pyrokinesis",,,,
http://www.wikidata.org/entity/Q2663986,Aurora,Jeanne-Marie Beaubier,mutant,"Earth-616, Marvel Universe",,"flight, superhuman agility / reflexes, superhuman durability, superhuman speed, photokinesis",,,,
http://www.wikidata.org/entity/Q2186500,Spider-Girl,May Parker,"mutate, comics character",Marvel Universe,,"superhuman speed, superhuman strength",,,,
http://www.wikidata.org/entity/Q52413964,Old Man Logan,James Howlett,mutant,Marvel Universe,,"superhuman longevity, superhuman senses, superhuman agility / reflexes, superhuman strength, healing factor",,,,
http://www.wikidata.org/entity/Q881024,Blade,Eric Brooks,"dhampir in a work of fiction, superhero film character, television character, animated character, comics character",Marvel Universe,,"superhuman longevity, superhuman senses, superhuman agility / reflexes, superhuman durability, superhuman speed, superhuman strength, healing factor",,,,
http://www.wikidata.org/entity/Q19398,Nova,Frankie Raye,"mutate, comics character",Marvel Universe,,"energy manipulation, flight, pyrokinesis",,,,
http://www.wikidata.org/entity/Q2267017,Cable,Nathan Christopher Charles Summers,"superhero film character, cyborg in a work of fiction, animated character, mutant","Earth-616, Marvel Universe",,"technopathy, psychokinesis, telepathy",,,,
http://www.wikidata.org/entity/Q2916404,Copycat,Vanessa Geraldine Carlysle,"superhero film character, mutant",Marvel Universe,,"power mimicry or absorption, shapeshifting",,,,
http://www.wikidata.org/entity/Q654588,Kraven the Hunter,Сергей Николаевич Кравинов,"superhero film character, animated character, mutate","Earth-616, Marvel Universe",,"superhuman speed, superhuman strength",,,,
http://www.wikidata.org/entity/Q188760,Hulk,Bruce Banner,"gamma mutate, superhero film character, mutate, comics character","Earth-616, Marvel Universe",,healing factor,,,,
http://www.wikidata.org/entity/Q2297765,Tiger Shark,Todd Arliss,"mutate, comics character",Marvel Universe,,"waterbreathing, superhuman durability, superhuman strength",,,,
http://www.wikidata.org/entity/Q5342183,Nightcrawler,Kurt Wagner,"superhero film character, animated character, mutant","Earth-616, Marvel Universe",Bavaria,"superhuman agility / reflexes, teleportation",Catholicism,male,"priest, superhero, circus performer","X-Men, Excalibur, X-Treme Sanctions Executive"
http://www.wikidata.org/entity/Q2092660,Spider-Man 2099,Miguel O'Hara,"fictional king, animated character, mutate, comics character",Marvel Universe,,"superhuman senses, superhuman agility / reflexes, superhuman speed, superhuman strength, healing factor",,,,
http://www.wikidata.org/entity/Q858901,Cassandra Nova,Cassandra Xavier,comics character,Marvel Universe,,"intangibility, telepathy",,,,
http://www.wikidata.org/entity/Q59644,Domino,http://www.wikidata.org/.well-known/genid/019c2aed05b2f1ba6f4917d9e98d9f91,"superhero film character, animated character, mutant",Marvel Universe,,probability manipulation,,,,
http://www.wikidata.org/entity/Q2584217,Dazzler,Alison Blaire,"superhero film character, mutant",Marvel Universe,,photokinesis,,,,
http://www.wikidata.org/entity/Q186422,Wolverine,James Howlett,"anime character, superhero film character, animated character, literary character, video game character, comics character, mutant","Earth-616, Marvel Universe",,"superhuman longevity, superhuman senses, superhuman agility / reflexes, superhuman strength, healing factor",,,,
http://www.wikidata.org/entity/Q4003164,Ultimate Black Cat,Felicia Hardy,"fictional human, comics character",Marvel Universe,,"enhanced smell, superhuman agility / reflexes, probability manipulation, night vision",,,,
http://www.wikidata.org/entity/Q1841525,Thunderbolt Ross,Thaddeus E. Ross,"gamma mutate, film character, animated character, fictional human, mutate, supersoldier",Marvel Universe,,"superhuman durability, superhuman speed, superhuman strength, healing factor",,,,
http://www.wikidata.org/entity/Q3473863,Satana,Satana Hellstrom,"half-demon in a work of fiction, comics character",Marvel Universe,,"pyrokinesis, levitation, force field",,,,
http://www.wikidata.org/entity/Q2532716,Tigra,Greer Grant,"animated character, mutate, comics character",Marvel Universe,,"superhuman senses, superhuman agility / reflexes, superhuman speed, superhuman strength",,,,
http://www.wikidata.org/entity/Q3613591,Amanda Sefton,Jimaine Szardos,"witch in a work of fiction, animated character, comics character",Marvel Universe,,"shapeshifting, teleportation",,,,
http://www.wikidata.org/entity/Q1995969,Emma Frost,Emma Grace Frost,"anime character, superhero film character, animated character, mutant","Earth-616, Marvel Universe",,"inorganic, superhuman durability, superhuman strength, telepathy",,,,
http://www.wikidata.org/entity/Q6432784,Korvus,Korvus Rook'shir,"comics character, Shi'ar",Marvel Universe,,"superhuman agility / reflexes, superhuman durability, superhuman speed, superhuman strength",,,,
http://www.wikidata.org/entity/Q718806,Proteus,Kevin MacTaggert,"animated character, mutant","Earth-616, Marvel Universe",,"reality warping, body hopping",,,,
http://www.wikidata.org/entity/Q4883353,Bella Donna,Bella Donna Boudreaux,"animated character, comics character, mutant, fictional character",Marvel Universe,,"energy blasts, astral projection",,,,
http://www.wikidata.org/entity/Q2366159,Siryn,Theresa Rourke Cassidy,"superhero film character, mutant","Earth-616, Marvel Universe",,sonic scream,,,,
http://www.wikidata.org/entity/Q180704,Iron Man,Anthony Edward Carbonell Stark,"film character, fictional human, comics character","Earth-616, Marvel Universe",,"flight, armor, superhuman strength",,,,
http://www.wikidata.org/entity/Q857921,Cyclops,Scott Summers,"anime character, superhero film character, animated character, mutant","Earth-616, Marvel Universe",,optic blasts,,,,
http://www.wikidata.org/entity/Q2267760,Luke Cage,Carl Lucas,mutate,"Earth-616, Marvel Universe",,"superhuman durability, superhuman strength",,,,
http://www.wikidata.org/entity/Q48946153,Ultimate Rogue,Marian Carlyle,mutant,Marvel Universe,,"superhuman endurance, superhuman durability, power mimicry or absorption, superhuman speed, superhuman strength",,,,
http://www.wikidata.org/entity/Q2915564,Sauron,Karl Lykos,"animated character, mutate, vampire in Marvel Universe, comics character","Earth-616, Marvel Universe",,"flight, superhuman durability, superhuman speed, superhuman strength",,,,
http://www.wikidata.org/entity/Q2919094,Kiwi Black,Marcus Skarr,mutant,Marvel Universe,,teleportation,,,,
http://www.wikidata.org/entity/Q2604715,Eddie Brock,Edward Charles Brock,"superhero film character, animated character, fictional human, comics character","Earth-616, Marvel Universe",,"superhuman agility / reflexes, superhuman durability, superhuman speed, superhuman strength, healing factor",,,,
http://www.wikidata.org/entity/Q584585,Human Torch,Jonathan Lowell Spencer Storm,"film character, animated character, fictional human, mutate","Earth-616, Marvel Universe",,"flight, pyrokinesis",,,,
http://www.wikidata.org/entity/Q510450,Invisible Woman,Susan Storm,"film character, animated character, mutate","Earth-616, Marvel Universe",,"invisibility, force field",,,,
http://www.wikidata.org/entity/Q1984020,Terrax,Tyros,"fictional human, fictional extraterrestrial, comics character",Marvel Universe,,"energy manipulation, superhuman durability",,,,
http://www.wikidata.org/entity/Q1911253,Nocturne,Talia Josephine Wagner,mutant,Marvel Universe,,"superhuman agility / reflexes, body hopping, telepathy",,,,
http://www.wikidata.org/entity/Q39071489,Maker,Reed Richards,mutate,Marvel Universe,,"elasticity, immortality",,,,
http://www.wikidata.org/entity/Q2604713,Arclight,Philippa Sontag,"superhero film character, animated character, mutant",Marvel Universe,,"superhuman durability, superhuman strength",,,,
http://www.wikidata.org/entity/Q4003146,Ultimate Beast,Henry McCoy,mutant,Marvel Universe,,"enhanced smell, superhuman agility / reflexes, superhuman speed, superhuman strength",,,,
http://www.wikidata.org/entity/Q2917078,Mac Gargan,MacDonald Gargan,"animated character, mutate","Earth-616, Marvel Universe",,"superhuman agility / reflexes, superhuman durability, superhuman speed, superhuman strength",,,,
http://www.wikidata.org/entity/Q912640,Black Cat,Felicia Hardy,"superhero film character, animated character, mutate, comics character","Earth-616, Marvel Universe",,probability manipulation,,,,
http://www.wikidata.org/entity/Q10342795,Oya,Idie Okonkwo,mutant,Marvel Universe,,thermokinesis,,,,
http://www.wikidata.org/entity/Q1990090,Hydro-Man,Morris Bench,"fictional human, mutate, comics character",Marvel Universe,,hydrokinesis,,,,
http://www.wikidata.org/entity/Q3837487,Red Lotus,Paul Hark,"film character, mutant",Marvel Universe,,"superhuman agility / reflexes, superhuman durability, superhuman speed, superhuman strength",,,,
http://www.wikidata.org/entity/Q48947511,Ultimate Iceman,Robert Drake,mutant,Marvel Universe,,cryokinesis,,,,
http://www.wikidata.org/entity/Q2500449,Silvermane,Silvio Manfredi,"cyborg in a work of fiction, fictional human, comics character",Marvel Universe,,"superhuman senses, superhuman durability, superhuman strength",,,,
http://www.wikidata.org/entity/Q521305,Chameleon,Дмитрий Анатолий Николаевич Смердяков Кравинов,mutate,"Earth-616, Marvel Universe",,shapeshifting,,,,
http://www.wikidata.org/entity/Q3985214,Negasonic Teenage Warhead,Ellie Phimister,"superhero film character, mutant","Earth-616, Marvel Universe",,"reality warping, precognition, telepathy",,,,
http://www.wikidata.org/entity/Q2624390,Blink,Clarice Ferguson,"superhero film character, television character, animated character, mutant",Marvel Universe,,teleportation,,,,
http://www.wikidata.org/entity/Q3139793,Purple Man,Zebediah Killgrave,"mutate, comics character",Marvel Universe,,"mind control, healing factor",,,,
http://www.wikidata.org/entity/Q3525849,Thornn,Lucia Callasantos,mutant,"Earth-616, Marvel Universe",,"superhuman senses, superhuman agility / reflexes, superhuman durability, superhuman speed, superhuman strength",,,,
http://www.wikidata.org/entity/Q841372,Juggernaut,Cain Marko,"superhero film character, CGI character, animated character, mutate, comics character","Earth-616, Marvel Universe",,"superhuman durability, immortality, superhuman strength",,,,
http://www.wikidata.org/entity/Q431862,Sabretooth,Victor Creed,"superhero film character, animated character, comics character, mutant",Marvel Universe,,"enhanced smell, superhuman longevity, superhuman senses, superhuman durability, superhuman strength, healing factor",,,,
http://www.wikidata.org/entity/Q2095786,Spider-Woman,Martha Franklin,"mutate, comics character",Marvel Universe,,"flight, superhuman agility / reflexes, superhuman durability, superhuman speed, superhuman strength, telepathy",,,,
http://www.wikidata.org/entity/Q2297886,Electro,Maxwell Dillon,"superhero film character, animated character, mutate, comics character","Earth-616, Marvel Universe",,electrokinesis,,,,
http://www.wikidata.org/entity/Q973050,Betsy Braddock,Elizabeth Braddock,"superhero film character, animated character, mutant","Earth-616, Marvel Universe",,"precognition, psychokinesis, telepathy",,,,
http://www.wikidata.org/entity/Q632212,Storm,Ororo Munroe,"anime character, superhero film character, animated character, comics character, mutant","Earth-616, Marvel Universe",,weather manipulation,,,,
http://www.wikidata.org/entity/Q2071256,Polaris,Lorna Dane,"television character, animated character, mutant","Earth-616, Marvel Universe",,magnetism manipulation,,,,
http://www.wikidata.org/entity/Q923391,Ezekiel,Ezekiel Sims,"mutate, comics character",Marvel Universe,,"superhuman senses, superhuman agility / reflexes, superhuman speed, superhuman strength",,,,
http://www.wikidata.org/entity/Q258015,Rachel Summers,Rachel Anne Summers,mutant,"Earth-811, Earth-616, Marvel Universe",,"psychokinesis, telepathy",,,,
http://www.wikidata.org/entity/Q838076,Professor X,Charles Francis Xavier,"superhero film character, mutant","Earth-616, Marvel Universe",,"memory manipulation, telepathy",,,,
http://www.wikidata.org/entity/Q2624716,Franklin Richards,Franklin Benjamin Richards,mutate,"Earth-616, Marvel Universe",,"energy manipulation, reality warping, teleportation, mind control, immortality, invulnerability, astral projection, precognition, resurrection, psychokinesis, time travel, telepathy",,,,
http://www.wikidata.org/entity/Q20979395,Spider-Woman,Gwendolyne Maxine Stacy,"animated character, mutate, comics character",Marvel Universe,,"superhuman agility / reflexes, superhuman durability, superhuman speed, superhuman strength",,,,
http://www.wikidata.org/entity/Q849486,Havok,Alexander Summers,"superhero film character, animated character, mutant","Earth-616, Marvel Universe",Honolulu,energy blasts,Catholicism,male,"superhero, government agent","Starjammers, X-Men, Avengers, Brotherhood of Mutants, Defenders, X-Factor"
http://www.wikidata.org/entity/Q60002,Colossus,Пётр Николаевич Распутин,"superhero film character, CGI character, animated character, mutant","Earth-616, Marvel Universe",,"inorganic, superhuman durability, superhuman strength",,,,
http://www.wikidata.org/entity/Q2569703,Strong Guy,Guido Carosella,"animated character, mutant",Marvel Universe,,kinetic absorption,,,,
http://www.wikidata.org/entity/Q1631090,Deadpool,Wade Winston Wilson,"fictional soldier, superhero film character, animated character, mutate, supersoldier, video game character, comics character",Marvel Universe,,healing factor,,,,
http://www.wikidata.org/entity/Q3020765,Deathbird,Cal'syee Neramani,"mutant, Shi'ar","Earth-616, Marvel Universe",,"flight, superhuman agility / reflexes, superhuman durability, superhuman speed, superhuman strength",,,,
http://www.wikidata.org/entity/Q60146,Abomination,Emil Blonsky,"gamma mutate, mutate",Marvel Universe,,"superhuman durability, superhuman speed, superhuman strength, healing factor",,,,
http://www.wikidata.org/entity/Q4003156,Ultimate Colossus,Пётр Николаевич Распутин,"comics character, mutant",Marvel Universe,,"superhuman endurance, inorganic, superhuman durability, superhuman strength",,,,
http://www.wikidata.org/entity/Q837133,Meggan,Meggan Puceanu,mutant,"Earth-616, Marvel Universe",,"flight, power mimicry or absorption, shapeshifting, superhuman strength",,,,
http://www.wikidata.org/entity/Q601199,Sunspot,Roberto da Costa,"superhero film character, animated character, mutant","Earth-616, Marvel Universe",,"flight, superhuman strength, photokinesis, thermokinesis",,,,
http://www.wikidata.org/entity/Q744104,Sasquatch,Walter Langkowski,"mutate, comics character",Marvel Universe,,"superhuman durability, superhuman strength, healing factor",,,,
http://www.wikidata.org/entity/Q3109652,Holocaust,William Rolfson,mutant,Marvel Universe,,"energy blasts, flight, superhuman agility / reflexes, superhuman durability, superhuman strength",,,,
http://www.wikidata.org/entity/Q3481293,Shaman,Michael Twoyoungmen,"fictional human, comics character","Earth-616, Marvel Universe",,levitation,,,,
http://www.wikidata.org/entity/Q2271377,Jessica Jones,Jessica Campbell Jones,"mutate, comics character",Marvel Universe,,"flight, superhuman durability, superhuman strength",,,,
http://www.wikidata.org/entity/Q10305119,Jamie Braddock,James Braddock Jr.,mutant,"Earth-616, Marvel Universe",,reality warping,,,,
http://www.wikidata.org/entity/Q2651308,Magik,Ильяна Николаевна Распутина,"superhero film character, mutant","Earth-616, Marvel Universe",,"teleportation, magic in fiction",,,,
http://www.wikidata.org/entity/Q734861,Valeria Richards,Valeria Meghan Richards,"fictional human, comics character","Earth-616, Marvel Universe",,"energy manipulation, teleportation, invisibility, force field, time travel",,,,
http://www.wikidata.org/entity/Q4010081,Vermin,Edward Whelan,"mutate, comics character",Marvel Universe,,"superhuman senses, superhuman agility / reflexes, superhuman durability, superhuman strength",,,,
http://www.wikidata.org/entity/Q302186,Beast,Henry Philip McCoy,"anime character, superhero film character, animated character, video game character, mutant","Earth-616, Marvel Universe",,"superhuman senses, superhuman agility / reflexes, superhuman durability, superhuman speed, superhuman strength",,,,
http://www.wikidata.org/entity/Q3144206,Hyperstorm,Jonathan Reed Richards,mutant,Marvel Universe,,"magnetism manipulation, electrokinesis",,,,
http://www.wikidata.org/entity/Q48544198,Ultimate Green Goblin,Norman Osborn,"fictional human, mutate, comics character",Marvel Universe,,"superhuman durability, superhuman speed, immortality, superhuman strength, healing factor",,,,
http://www.wikidata.org/entity/Q2275950,Shatterstar,Gaveedra Seven,"superhero film character, mutant","Mojoverse, Earth-616, Marvel Universe",,"superhuman agility / reflexes, superhuman durability, superhuman speed, superhuman strength, healing factor",,,,
http://www.wikidata.org/entity/Q3453575,Rusty Collins,Russell Collins,"superhero film character, animated character, mutant",Marvel Universe,,pyrokinesis,,,,
http://www.wikidata.org/entity/Q865017,Mister Fantastic,Reed Richards,"film character, animated character, mutate","Earth-616, Marvel Universe",,elasticity,,,,
http://www.wikidata.org/entity/Q616633,Betty Ross,Elizabeth Ross,"gamma mutate, superhero film character, harpy in a work of fiction, animated character, comics character",Marvel Universe,,"superhuman durability, superhuman speed, superhuman strength, healing factor",,,,
http://www.wikidata.org/entity/Q838088,Iceman,Robert Louis Drake,"superhero film character, animated character, mutant","Earth-616, Marvel Universe",,cryokinesis,,,,
